Equipment ID,Name,Category,PurchaseDate,CurrentLocation,Status,LastMaintenance,LastModifiedBy,ChangeTimeStamp
E105,Exercise Bike 90,Fitness,10/20/2023,F016,Available,04/16/2024,Annamaria@webster.edu,06/02/2024 00:00
E106,Barbell 91,Fitness,10/21/2024,F031,Maintenance,01/20/2026,Bipana@webster.edu,03/26/2026 00:00
E107,Treadmill 92,Fitness,04/02/2024,F032,Available,05/11/2025,Bipana@webster.edu,07/09/2025 00:00
E108,Camera 93,AV,02/27/2020,F009,Available,05/16/2021,Katie@webster.edu,05/31/2021 00:00
E109,Laptop 94,AV,12/30/2021,F019,Available,05/15/2022,Justin@webster.edu,09/09/2022 00:00
E110,Projector 95,AV,07/24/2022,F009,Available,11/02/2022,Bipana@webster.edu,12/17/2022 00:00
E111,Basketball 96,Sports,07/26/2024,F006,Available,02/15/2025,Josh@webster.edu,05/27/2025 00:00
E112,Elliptical 97,Fitness,07/11/2024,F027,Available,11/24/2024,Josh@webster.edu,01/11/2025 00:00
E113,Tripod 98,AV,03/11/2022,F025,Available,11/23/2022,Katie@webster.edu,03/23/2023 00:00
E114,Basketball 99,Sports,02/16/2022,F028,Available,06/17/2022,Josh@webster.edu,09/29/2022 00:00
E115,Basketball 100,Sports,07/15/2022,F005,Maintenance,11/05/2022,Justin@webster.edu,02/22/2023 00:00
E116,Laptop 101,AV,09/03/2022,F021,Available,11/05/2023,Katie@webster.edu,01/05/2024 00:00
E117,Weight Bench 102,Fitness,01/06/2024,F003,In Use,08/30/2024,Katie@webster.edu,10/29/2024 00:00
E118,Exercise Bike 103,Fitness,09/24/2023,F007,Available,01/30/2025,Annamaria@webster.edu,04/30/2025 00:00
E119,Microphone 104,AV,11/05/2022,F014,Available,03/14/2024,Bipana@webster.edu,03/20/2024 00:00
E120,Folding Chair 105,Furniture,08/30/2021,F008,Maintenance,01/01/2022,Annamaria@webster.edu,03/23/2022 00:00
E121,Projector 106,AV,06/30/2021,F033,Available,01/17/2022,Katie@webster.edu,03/31/2022 00:00
E122,Basketball 107,Sports,05/01/2024,F002,Available,07/18/2025,Justin@webster.edu,08/25/2025 00:00
E123,Microphone 108,AV,12/05/2022,F022,Available,03/22/2024,Annamaria@webster.edu,03/24/2024 00:00
E124,Basketball 109,Sports,04/17/2024,F026,Available,06/25/2024,Justin@webster.edu,09/24/2024 00:00
E125,Basketball 110,Sports,11/29/2024,F035,Maintenance,04/21/2025,Katie@webster.edu,06/01/2025 00:00
E126,Folding Table 111,Furniture,02/02/2023,F001,Maintenance,05/11/2024,Annamaria@webster.edu,05/16/2024 00:00
E127,Whiteboard 112,Furniture,07/19/2023,F026,Available,03/10/2024,Josh@webster.edu,03/12/2024 00:00
E128,Microphone 113,AV,03/25/2022,F019,Available,06/30/2022,Katie@webster.edu,07/27/2022 00:00
E129,Folding Chair 114,Furniture,02/24/2022,F011,Available,02/25/2023,Bipana@webster.edu,06/22/2023 00:00
E130,Speaker 115,AV,07/04/2020,F018,Maintenance,10/13/2021,Katie@webster.edu,11/03/2021 00:00
E131,Folding Chair 116,Furniture,08/10/2023,F031,Available,05/25/2024,Josh@webster.edu,07/02/2024 00:00
E132,Volleyball 117,Sports,11/20/2023,F001,In Use,09/30/2024,Bipana@webster.edu,11/25/2024 00:00
E133,Exercise Bike 118,Fitness,03/31/2023,F004,Available,12/03/2023,Josh@webster.edu,12/28/2023 00:00
E134,Elliptical 119,Fitness,11/12/2023,F021,Available,09/11/2024,Katie@webster.edu,11/01/2024 00:00
E135,Whiteboard 120,Furniture,10/23/2022,F021,Available,09/20/2023,Katie@webster.edu,10/26/2023 00:00
E136,Barbell 121,Fitness,10/19/2024,F021,Available,08/24/2025,Katie@webster.edu,11/17/2025 00:00
E137,Exercise Bike 122,Fitness,02/10/2021,F034,Available,02/06/2022,Annamaria@webster.edu,03/12/2022 00:00
E138,Yoga Mat 123,Fitness,05/05/2024,F015,Maintenance,09/16/2025,Bipana@webster.edu,12/26/2025 00:00
E139,Camera 124,AV,01/30/2023,F021,Available,12/23/2023,Bipana@webster.edu,04/05/2024 00:00
E140,Resistance Band 125,Fitness,06/15/2023,F033,Available,12/05/2023,Justin@webster.edu,01/02/2024 00:00
E141,Weight Bench 126,Fitness,06/19/2023,F008,Available,06/08/2024,Bipana@webster.edu,07/19/2024 00:00
E142,Tripod 127,AV,03/02/2021,F025,In Use,10/11/2021,Katie@webster.edu,01/04/2022 00:00
E143,Weight Bench 128,Fitness,08/06/2020,F033,Available,10/27/2021,Bipana@webster.edu,11/08/2021 00:00
E144,Treadmill 129,Fitness,04/28/2022,F020,Available,07/27/2022,Katie@webster.edu,08/27/2022 00:00
E145,Weight Bench 130,Fitness,01/03/2021,F018,Available,10/17/2021,Josh@webster.edu,01/13/2022 00:00
E146,Basketball 131,Sports,11/24/2023,F033,Maintenance,05/22/2024,Annamaria@webster.edu,08/04/2024 00:00
E147,Barbell 132,Fitness,04/03/2021,F006,Maintenance,07/31/2022,Justin@webster.edu,09/13/2022 00:00
E148,Camera 133,AV,11/29/2020,F017,Available,08/30/2021,Justin@webster.edu,10/27/2021 00:00
E149,Yoga Mat 134,Fitness,03/18/2021,F021,Maintenance,06/01/2021,Annamaria@webster.edu,07/31/2021 00:00
E150,Folding Table 135,Furniture,06/21/2023,F012,Available,09/08/2024,Annamaria@webster.edu,12/05/2024 00:00
E151,Soccer Ball 136,Sports,12/14/2022,F009,Available,05/03/2023,Annamaria@webster.edu,08/18/2023 00:00
E152,Yoga Mat 137,Fitness,01/30/2021,F004,Available,01/12/2022,Annamaria@webster.edu,03/06/2022 00:00
E153,Camera 138,AV,03/24/2020,F029,Available,07/09/2021,Annamaria@webster.edu,09/25/2021 00:00
E154,Elliptical 139,Fitness,03/06/2021,F001,Available,02/17/2022,Josh@webster.edu,02/19/2022 00:00
E155,Barbell 140,Fitness,01/03/2023,F032,Available,10/21/2023,Katie@webster.edu,01/25/2024 00:00
E156,Speaker 141,AV,08/27/2020,F035,Maintenance,09/14/2021,Justin@webster.edu,10/15/2021 00:00
E157,Laptop 142,AV,10/05/2022,F032,Maintenance,09/18/2023,Bipana@webster.edu,12/05/2023 00:00
E158,Treadmill 143,Fitness,02/10/2020,F002,Maintenance,04/06/2021,Justin@webster.edu,06/10/2021 00:00
E159,Exercise Bike 144,Fitness,12/04/2023,F023,Available,08/29/2024,Bipana@webster.edu,11/07/2024 00:00
E160,Exercise Bike 145,Fitness,03/17/2020,F026,Available,05/17/2020,Katie@webster.edu,07/14/2020 00:00
E161,Folding Table 146,Furniture,11/25/2024,F012,Available,04/03/2026,Justin@webster.edu,07/30/2026 00:00
E162,Whiteboard 147,Furniture,12/10/2022,F014,Available,02/26/2024,Bipana@webster.edu,03/24/2024 00:00
E163,Camera 148,AV,12/31/2020,F031,In Use,04/07/2022,Justin@webster.edu,05/25/2022 00:00
E164,Folding Chair 149,Furniture,02/28/2023,F017,Available,05/26/2023,Josh@webster.edu,06/09/2023 00:00
E165,Projector 150,AV,05/07/2023,F020,Available,06/27/2024,Josh@webster.edu,10/20/2024 00:00
E166,Soccer Ball 151,Sports,07/07/2024,F011,Available,11/04/2025,Katie@webster.edu,01/24/2026 00:00
E167,Treadmill 152,Fitness,05/10/2020,F029,In Use,08/23/2021,Justin@webster.edu,08/28/2021 00:00
E168,Resistance Band 153,Fitness,04/30/2021,F017,In Use,02/06/2022,Annamaria@webster.edu,03/14/2022 00:00
E169,Volleyball 154,Sports,06/07/2023,F016,Available,05/23/2024,Josh@webster.edu,09/18/2024 00:00
E170,Whiteboard 155,Furniture,12/10/2020,F009,Available,06/21/2021,Annamaria@webster.edu,06/24/2021 00:00
E171,Whiteboard 156,Furniture,09/13/2023,F003,Available,01/29/2024,Katie@webster.edu,03/13/2024 00:00
E172,Treadmill 157,Fitness,08/29/2021,F012,Available,04/20/2022,Josh@webster.edu,08/10/2022 00:00
E173,Tripod 158,AV,02/16/2024,F023,Available,02/03/2025,Bipana@webster.edu,03/22/2025 00:00
E174,Volleyball 159,Sports,08/18/2020,F006,Available,07/17/2021,Josh@webster.edu,10/07/2021 00:00
E175,Resistance Band 160,Fitness,03/11/2024,F019,Maintenance,12/06/2024,Justin@webster.edu,01/12/2025 00:00
E176,Projector 161,AV,07/23/2022,F011,Maintenance,01/24/2023,Josh@webster.edu,05/12/2023 00:00
E177,Projector 162,AV,08/20/2021,F027,Available,07/04/2022,Katie@webster.edu,08/28/2022 00:00
E178,Folding Chair 163,Furniture,04/30/2020,F031,Maintenance,05/07/2021,Josh@webster.edu,07/14/2021 00:00
E179,Resistance Band 164,Fitness,04/29/2021,F035,Maintenance,09/12/2021,Justin@webster.edu,09/21/2021 00:00
E180,Speaker 165,AV,05/06/2022,F025,Available,11/21/2022,Katie@webster.edu,01/02/2023 00:00
E181,Folding Chair 166,Furniture,03/21/2020,F023,Available,06/01/2021,Josh@webster.edu,07/24/2021 00:00
E182,Basketball 167,Sports,12/24/2020,F005,Available,03/09/2022,Josh@webster.edu,05/18/2022 00:00
E183,Speaker 168,AV,06/23/2024,F009,Available,06/07/2025,Annamaria@webster.edu,06/24/2025 00:00
E184,Basketball 169,Sports,08/05/2023,F017,Maintenance,11/09/2024,Josh@webster.edu,02/20/2025 00:00
E185,Folding Table 170,Furniture,07/09/2023,F034,In Use,05/12/2024,Bipana@webster.edu,07/04/2024 00:00
E186,Speaker 171,AV,02/16/2020,F033,Available,03/07/2021,Katie@webster.edu,06/28/2021 00:00
E187,Speaker 172,AV,01/27/2020,F011,Maintenance,01/12/2021,Bipana@webster.edu,04/29/2021 00:00
E188,Barbell 173,Fitness,07/26/2021,F007,In Use,12/08/2021,Katie@webster.edu,02/24/2022 00:00
E189,Treadmill 174,Fitness,11/09/2020,F031,In Use,10/24/2021,Annamaria@webster.edu,11/02/2021 00:00
E190,Microphone 175,AV,10/29/2023,F018,In Use,02/12/2025,Josh@webster.edu,04/07/2025 00:00
E191,Yoga Mat 176,Fitness,02/11/2024,F016,Available,12/04/2024,Justin@webster.edu,12/08/2024 00:00
E192,Projector 177,AV,08/31/2023,F020,Available,05/05/2024,Josh@webster.edu,05/23/2024 00:00
E193,Basketball 178,Sports,11/25/2021,F010,In Use,03/22/2023,Katie@webster.edu,06/30/2023 00:00
E194,Barbell 179,Fitness,10/20/2021,F025,Available,11/19/2022,Bipana@webster.edu,02/25/2023 00:00
E195,Volleyball 180,Sports,02/19/2024,F029,Available,03/22/2025,Bipana@webster.edu,05/14/2025 00:00
E196,Barbell 181,Fitness,11/20/2021,F027,Available,10/02/2022,Josh@webster.edu,11/27/2022 00:00
E197,Laptop 182,AV,10/23/2021,F005,Available,04/07/2022,Justin@webster.edu,07/12/2022 00:00
E198,Microphone 183,AV,01/13/2022,F021,In Use,05/12/2022,Justin@webster.edu,08/02/2022 00:00
E199,Laptop 184,AV,07/24/2023,F010,Maintenance,06/05/2024,Katie@webster.edu,07/30/2024 00:00
E200,Weight Bench 185,Fitness,08/02/2024,F034,Maintenance,06/16/2025,Annamaria@webster.edu,10/05/2025 00:00
