ReservationID,UserID,FacilityID,StartTime,EndTime,Purpose,Status,LastModifiedBy,CancellationReason
R0027,U183,F024,03/05/2025 15:00,03/05/2025 17:00,Guest Lecture,Completed,U092,
R0028,U149,F005,02/21/2025 13:00,02/21/2025 17:00,Fitness Class,Completed,U009,
R0029,U043,F028,10/02/2025 19:30,10/02/2025 20:30,Study Group,Confirmed,U115,
R0030,U222,F002,02/03/2025 11:30,02/03/2025 13:30,Study Group,Confirmed,U232,
R0031,U040,F025,06/22/2025 18:30,06/22/2025 21:30,Workshop,Completed,U070,
R0032,U138,F002,11/29/2025 16:30,11/29/2025 17:30,Dance Rehearsal,Confirmed,U020,
R0033,U202,F013,02/09/2025 15:30,02/09/2025 18:30,Training Session,Confirmed,U078,
R0034,U202,F023,08/28/2025 17:00,08/28/2025 21:00,Career Fair,Confirmed,U045,
R0035,U288,F011,11/14/2025 08:00,11/14/2025 09:00,Study Group,Confirmed,U184,
R0036,U094,F006,11/16/2025 14:00,11/16/2025 16:00,Dance Rehearsal,Cancelled,U235,Scheduling Conflict
R0037,U219,F021,03/27/2025 14:00,03/27/2025 18:00,Volleyball Practice,Completed,U184,
R0038,U157,F006,01/04/2025 12:00,01/04/2025 14:00,Volleyball Practice,Confirmed,U276,
R0039,U031,F016,01/29/2025 07:30,01/29/2025 08:30,Conference,Completed,U246,
R0040,U149,F001,09/02/2025 08:30,09/02/2025 11:30,Study Group,Completed,U150,
R0041,U101,F026,03/28/2025 13:00,03/28/2025 14:00,Team Meeting,Confirmed,U161,
R0042,U071,F024,06/27/2025 11:30,06/27/2025 12:30,Volleyball Practice,Confirmed,U051,
R0043,U114,F035,12/03/2025 10:30,12/03/2025 11:30,Swimming Training,Cancelled,U236,Scheduling Conflict
R0044,U155,F019,06/29/2025 10:30,06/29/2025 11:30,Conference,Completed,U101,
R0045,U163,F018,03/05/2025 10:00,03/05/2025 13:00,Volleyball Practice,Completed,U263,
R0046,U287,F019,08/15/2025 11:30,08/15/2025 14:30,Workshop,Confirmed,U210,
R0047,U112,F027,03/10/2025 12:30,03/10/2025 13:30,Swimming Training,Confirmed,U132,
R0048,U127,F035,05/22/2025 13:00,05/22/2025 15:00,Dance Rehearsal,Completed,U170,
R0049,U116,F008,09/21/2025 11:00,09/21/2025 13:00,Career Fair,Confirmed,U098,
R0050,U018,F032,10/25/2025 09:00,10/25/2025 10:00,Yoga Session,Confirmed,U185,
R0051,U143,F032,12/23/2025 10:00,12/23/2025 13:00,Career Fair,Confirmed,U113,
R0052,U249,F032,09/20/2025 14:30,09/20/2025 16:30,Student Organization Meeting,Confirmed,U130,
R0053,U223,F018,07/23/2025 20:30,07/24/2025 00:30,Team Meeting,Cancelled,U229,Scheduling Conflict
R0054,U069,F035,01/15/2025 12:00,01/15/2025 14:00,Student Organization Meeting,Cancelled,U112,Scheduling Conflict
R0055,U042,F013,08/25/2025 16:30,08/25/2025 18:30,Training Session,Confirmed,U105,
R0056,U285,F019,08/02/2025 07:00,08/02/2025 10:00,Yoga Session,Confirmed,U130,
R0057,U182,F016,08/31/2025 14:30,08/31/2025 18:30,Team Meeting,Completed,U116,
R0058,U239,F022,10/08/2025 06:30,10/08/2025 10:30,Fitness Class,Confirmed,U160,
R0059,U123,F032,03/25/2025 19:30,03/25/2025 21:30,Volleyball Practice,Confirmed,U080,
R0060,U207,F013,02/06/2025 12:00,02/06/2025 16:00,Basketball Practice,Confirmed,U237,
R0061,U050,F013,02/27/2025 10:00,02/27/2025 14:00,Basketball Practice,Confirmed,U158,
R0062,U015,F015,02/11/2025 11:30,02/11/2025 13:30,Basketball Practice,Completed,U067,
R0063,U178,F003,05/19/2025 06:00,05/19/2025 09:00,Volleyball Practice,Confirmed,U118,
R0064,U177,F006,11/18/2025 15:30,11/18/2025 17:30,Training Session,Cancelled,U056,Scheduling Conflict
R0065,U075,F009,12/19/2025 07:30,12/19/2025 08:30,Career Fair,Completed,U195,
R0066,U231,F008,09/25/2025 20:00,09/25/2025 21:00,Study Group,Completed,U273,
R0067,U252,F010,12/21/2025 14:00,12/21/2025 15:00,Workshop,Confirmed,U028,
R0068,U179,F023,03/13/2025 16:30,03/13/2025 19:30,Tournament,Completed,U070,
R0069,U029,F001,05/30/2025 18:00,05/30/2025 20:00,Yoga Session,Confirmed,U213,
R0070,U122,F013,02/11/2025 19:30,02/11/2025 21:30,Team Meeting,Confirmed,U164,
R0071,U240,F020,05/28/2025 09:30,05/28/2025 13:30,Dance Rehearsal,Completed,U064,
R0072,U082,F022,02/22/2025 08:30,02/22/2025 11:30,Career Fair,Confirmed,U066,
R0073,U078,F001,07/04/2025 10:30,07/04/2025 11:30,Dance Rehearsal,Confirmed,U098,
R0074,U224,F030,08/17/2025 12:30,08/17/2025 14:30,Training Session,Confirmed,U171,
R0075,U188,F021,12/30/2025 08:00,12/30/2025 12:00,Training Session,Confirmed,U298,
R0076,U158,F009,03/24/2025 13:30,03/24/2025 16:30,Tournament,Confirmed,U204,
R0077,U084,F033,08/27/2025 09:30,08/27/2025 11:30,Yoga Session,Confirmed,U011,
R0078,U149,F002,04/19/2025 18:00,04/19/2025 22:00,Training Session,Cancelled,U021,Scheduling Conflict
R0079,U073,F010,03/26/2025 10:00,03/26/2025 13:00,Basketball Practice,Confirmed,U267,
R0080,U214,F018,04/11/2025 06:00,04/11/2025 10:00,Team Meeting,Confirmed,U171,
R0081,U039,F023,07/27/2025 09:00,07/27/2025 13:00,Study Group,Completed,U136,
R0082,U247,F014,12/21/2025 20:30,12/21/2025 23:30,Fitness Class,Confirmed,U126,
R0083,U235,F018,10/28/2025 16:00,10/28/2025 19:00,Student Organization Meeting,Confirmed,U037,
R0084,U200,F002,07/29/2025 16:00,07/29/2025 20:00,Conference,Completed,U016,
R0085,U245,F002,08/10/2025 20:00,08/10/2025 22:00,Study Group,Completed,U106,
R0086,U091,F009,11/06/2025 12:30,11/06/2025 16:30,Student Organization Meeting,Completed,U159,
R0087,U252,F012,03/05/2025 09:30,03/05/2025 12:30,Conference,Confirmed,U276,
R0088,U057,F022,07/24/2025 09:00,07/24/2025 11:00,Study Group,Completed,U264,
R0089,U110,F010,04/18/2025 11:00,04/18/2025 14:00,Volleyball Practice,Confirmed,U101,
R0090,U300,F030,01/17/2025 15:00,01/17/2025 16:00,Yoga Session,Completed,U060,
R0091,U243,F003,09/29/2025 14:00,09/29/2025 16:00,Student Organization Meeting,Completed,U205,
R0092,U059,F028,11/16/2025 15:00,11/16/2025 19:00,Fitness Class,Completed,U223,
R0093,U277,F004,03/07/2025 12:00,03/07/2025 16:00,Workshop,Confirmed,U123,
R0094,U214,F024,02/16/2025 07:00,02/16/2025 08:00,Guest Lecture,Confirmed,U089,
R0095,U156,F015,05/05/2025 12:30,05/05/2025 14:30,Volleyball Practice,Completed,U236,
R0096,U118,F003,12/16/2025 20:30,12/17/2025 00:30,Training Session,Confirmed,U277,
R0097,U083,F009,02/23/2025 17:30,02/23/2025 19:30,Basketball Practice,Completed,U241,
R0098,U150,F023,01/20/2025 13:30,01/20/2025 17:30,Guest Lecture,Confirmed,U035,
R0099,U008,F012,07/02/2025 19:00,07/02/2025 22:00,Dance Rehearsal,Confirmed,U081,
R0100,U276,F008,11/03/2025 07:00,11/03/2025 09:00,Fitness Class,Cancelled,U129,Scheduling Conflict
R0101,U033,F033,10/14/2025 19:00,10/14/2025 21:00,Swimming Training,Completed,U219,
R0102,U013,F032,10/12/2025 09:00,10/12/2025 11:00,Dance Rehearsal,Confirmed,U097,
R0103,U299,F020,01/04/2025 18:00,01/04/2025 22:00,Training Session,Confirmed,U233,
R0104,U137,F001,02/05/2025 10:30,02/05/2025 14:30,Team Meeting,Cancelled,U039,Scheduling Conflict
R0105,U271,F004,11/30/2025 12:30,11/30/2025 13:30,Swimming Training,Confirmed,U112,
R0106,U294,F010,07/15/2025 16:30,07/15/2025 20:30,Yoga Session,Confirmed,U206,
R0107,U089,F022,08/25/2025 10:30,08/25/2025 14:30,Swimming Training,Cancelled,U274,Scheduling Conflict
R0108,U134,F012,06/07/2025 06:00,06/07/2025 07:00,Workshop,Cancelled,U263,Scheduling Conflict
R0109,U123,F005,02/08/2025 12:30,02/08/2025 15:30,Basketball Practice,Cancelled,U256,Scheduling Conflict
R0110,U214,F005,02/20/2025 07:30,02/20/2025 11:30,Conference,Cancelled,U038,Scheduling Conflict
R0111,U126,F016,06/22/2025 14:00,06/22/2025 15:00,Study Group,Confirmed,U059,
R0112,U054,F024,02/16/2025 07:30,02/16/2025 08:30,Fitness Class,Completed,U092,
R0113,U028,F019,03/12/2025 10:00,03/12/2025 13:00,Study Group,Completed,U269,
R0114,U082,F011,06/29/2025 17:00,06/29/2025 21:00,Guest Lecture,Completed,U023,
R0115,U298,F014,07/12/2025 08:30,07/12/2025 09:30,Conference,Cancelled,U192,Scheduling Conflict
R0116,U288,F008,09/19/2025 15:00,09/19/2025 17:00,Volleyball Practice,Completed,U240,
R0117,U292,F008,02/07/2025 17:30,02/07/2025 18:30,Team Meeting,Cancelled,U190,Scheduling Conflict
R0118,U245,F002,04/07/2025 12:00,04/07/2025 15:00,Dance Rehearsal,Confirmed,U263,
R0119,U163,F022,06/14/2025 17:00,06/14/2025 21:00,Basketball Practice,Confirmed,U023,
R0120,U167,F012,06/04/2025 18:30,06/04/2025 19:30,Workshop,Confirmed,U096,
R0121,U076,F009,10/11/2025 16:00,10/11/2025 20:00,Training Session,Cancelled,U272,Scheduling Conflict
R0122,U153,F012,07/25/2025 15:30,07/25/2025 17:30,Study Group,Completed,U296,
R0123,U271,F021,06/29/2025 16:30,06/29/2025 19:30,Training Session,Confirmed,U012,
R0124,U107,F023,11/16/2025 07:00,11/16/2025 08:00,Study Group,Confirmed,U165,
R0125,U155,F002,12/14/2025 15:30,12/14/2025 16:30,Fitness Class,Confirmed,U174,
R0126,U214,F030,08/11/2025 16:30,08/11/2025 17:30,Workshop,Confirmed,U111,
R0127,U006,F026,12/02/2025 16:30,12/02/2025 17:30,Yoga Session,Confirmed,U019,
R0128,U096,F033,05/11/2025 10:30,05/11/2025 12:30,Fitness Class,Confirmed,U181,
R0129,U008,F033,05/13/2025 06:00,05/13/2025 07:00,Workshop,Completed,U152,
R0130,U172,F033,06/29/2025 14:30,06/29/2025 16:30,Workshop,Confirmed,U138,
R0131,U086,F028,07/02/2025 16:00,07/02/2025 20:00,Workshop,Completed,U127,
R0132,U082,F010,04/12/2025 13:00,04/12/2025 14:00,Yoga Session,Cancelled,U120,Scheduling Conflict
R0133,U103,F029,04/27/2025 14:00,04/27/2025 16:00,Fitness Class,Confirmed,U075,
R0134,U093,F024,07/16/2025 18:00,07/16/2025 20:00,Training Session,Confirmed,U260,
R0135,U010,F023,08/06/2025 13:00,08/06/2025 14:00,Guest Lecture,Confirmed,U290,
R0136,U038,F022,12/18/2025 12:30,12/18/2025 16:30,Tournament,Confirmed,U027,
R0137,U202,F012,09/11/2025 07:00,09/11/2025 10:00,Yoga Session,Confirmed,U162,
R0138,U056,F027,10/17/2025 18:30,10/17/2025 22:30,Training Session,Confirmed,U258,
R0139,U260,F010,09/04/2025 11:30,09/04/2025 14:30,Fitness Class,Confirmed,U156,
R0140,U153,F001,09/21/2025 12:30,09/21/2025 14:30,Student Organization Meeting,Confirmed,U027,
R0141,U068,F020,11/07/2025 14:00,11/07/2025 18:00,Yoga Session,Completed,U289,
R0142,U102,F002,03/20/2025 09:30,03/20/2025 10:30,Team Meeting,Confirmed,U288,
R0143,U220,F004,01/14/2025 09:30,01/14/2025 11:30,Study Group,Confirmed,U239,
R0144,U213,F034,06/23/2025 07:00,06/23/2025 08:00,Fitness Class,Confirmed,U296,
R0145,U002,F032,10/02/2025 07:30,10/02/2025 08:30,Training Session,Confirmed,U015,
R0146,U076,F013,02/01/2025 19:30,02/01/2025 21:30,Conference,Completed,U181,
R0147,U057,F019,06/03/2025 06:00,06/03/2025 07:00,Conference,Confirmed,U063,
R0148,U044,F024,05/11/2025 15:00,05/11/2025 19:00,Swimming Training,Confirmed,U159,
R0149,U254,F021,06/21/2025 15:30,06/21/2025 18:30,Study Group,Confirmed,U268,
R0150,U044,F023,05/31/2025 17:30,05/31/2025 21:30,Dance Rehearsal,Confirmed,U045,
R0151,U239,F027,11/20/2025 20:30,11/20/2025 23:30,Basketball Practice,Confirmed,U193,
R0152,U011,F002,02/02/2025 13:00,02/02/2025 14:00,Guest Lecture,Completed,U262,
R0153,U053,F011,07/31/2025 16:00,07/31/2025 20:00,Career Fair,Completed,U170,
R0154,U209,F023,01/02/2025 08:00,01/02/2025 10:00,Workshop,Completed,U132,
R0155,U047,F008,04/15/2025 16:30,04/15/2025 19:30,Conference,Confirmed,U146,
R0156,U260,F033,03/10/2025 10:00,03/10/2025 14:00,Swimming Training,Completed,U191,
R0157,U194,F020,10/07/2025 14:00,10/07/2025 15:00,Tournament,Confirmed,U043,
R0158,U210,F021,06/26/2025 12:30,06/26/2025 15:30,Team Meeting,Confirmed,U087,
R0159,U158,F031,01/10/2025 17:00,01/10/2025 18:00,Study Group,Confirmed,U243,
R0160,U115,F031,02/11/2025 13:00,02/11/2025 16:00,Conference,Confirmed,U208,
R0161,U293,F011,08/07/2025 10:00,08/07/2025 11:00,Fitness Class,Confirmed,U005,
R0162,U216,F035,05/17/2025 20:30,05/18/2025 00:30,Guest Lecture,Confirmed,U052,
R0163,U190,F031,01/10/2025 14:00,01/10/2025 15:00,Study Group,Completed,U062,
R0164,U230,F002,10/13/2025 17:30,10/13/2025 19:30,Team Meeting,Confirmed,U176,
R0165,U046,F023,10/26/2025 07:30,10/26/2025 10:30,Volleyball Practice,Confirmed,U263,
R0166,U229,F027,01/05/2025 16:00,01/05/2025 17:00,Basketball Practice,Completed,U258,
R0167,U147,F006,11/23/2025 20:00,11/23/2025 23:00,Swimming Training,Completed,U252,
R0168,U121,F035,07/21/2025 17:30,07/21/2025 20:30,Volleyball Practice,Cancelled,U252,Scheduling Conflict
R0169,U159,F021,02/22/2025 08:30,02/22/2025 11:30,Career Fair,Completed,U183,
R0170,U248,F025,02/12/2025 19:00,02/12/2025 20:00,Conference,Confirmed,U017,
R0171,U270,F008,12/22/2025 14:30,12/22/2025 17:30,Training Session,Confirmed,U044,
R0172,U282,F002,08/15/2025 18:00,08/15/2025 19:00,Dance Rehearsal,Cancelled,U015,Scheduling Conflict
R0173,U208,F035,11/03/2025 11:30,11/03/2025 14:30,Guest Lecture,Completed,U153,
R0174,U008,F026,03/04/2025 14:30,03/04/2025 18:30,Fitness Class,Completed,U059,
R0175,U054,F004,09/16/2025 19:00,09/16/2025 22:00,Conference,Confirmed,U110,
R0176,U147,F003,02/05/2025 06:00,02/05/2025 07:00,Career Fair,Confirmed,U250,
R0177,U264,F025,07/22/2025 16:30,07/22/2025 18:30,Workshop,Confirmed,U090,
R0178,U019,F011,08/14/2025 08:00,08/14/2025 12:00,Dance Rehearsal,Completed,U001,
R0179,U157,F009,01/26/2025 20:00,01/26/2025 21:00,Volleyball Practice,Confirmed,U269,
R0180,U190,F017,12/10/2025 06:30,12/10/2025 07:30,Yoga Session,Confirmed,U274,
R0181,U121,F002,12/26/2025 07:30,12/26/2025 09:30,Guest Lecture,Completed,U072,
R0182,U252,F034,08/24/2025 11:00,08/24/2025 15:00,Team Meeting,Confirmed,U245,
R0183,U012,F024,02/12/2025 06:30,02/12/2025 08:30,Volleyball Practice,Confirmed,U038,
R0184,U203,F008,04/24/2025 17:00,04/24/2025 18:00,Team Meeting,Confirmed,U220,
R0185,U003,F025,07/31/2025 07:30,07/31/2025 11:30,Basketball Practice,Confirmed,U169,
R0186,U290,F004,09/30/2025 16:00,09/30/2025 18:00,Guest Lecture,Cancelled,U281,Scheduling Conflict
R0187,U078,F004,10/08/2025 13:00,10/08/2025 16:00,Basketball Practice,Confirmed,U076,
R0188,U191,F002,09/03/2025 08:00,09/03/2025 11:00,Workshop,Completed,U129,
R0189,U133,F023,02/26/2025 14:00,02/26/2025 15:00,Workshop,Confirmed,U215,
R0190,U264,F022,12/06/2025 08:00,12/06/2025 09:00,Yoga Session,Confirmed,U251,
R0191,U011,F022,11/22/2025 07:00,11/22/2025 11:00,Career Fair,Confirmed,U037,
R0192,U028,F004,11/12/2025 18:30,11/12/2025 20:30,Volleyball Practice,Confirmed,U017,
R0193,U020,F009,12/07/2025 10:30,12/07/2025 12:30,Yoga Session,Confirmed,U080,
R0194,U200,F022,12/18/2025 07:30,12/18/2025 11:30,Volleyball Practice,Completed,U112,
R0195,U235,F013,08/31/2025 12:00,08/31/2025 16:00,Fitness Class,Confirmed,U001,
R0196,U165,F023,10/05/2025 11:30,10/05/2025 14:30,Swimming Training,Confirmed,U216,
R0197,U183,F009,05/18/2025 17:00,05/18/2025 20:00,Guest Lecture,Cancelled,U058,Scheduling Conflict
R0198,U185,F024,09/19/2025 18:30,09/19/2025 20:30,Guest Lecture,Confirmed,U260,
R0199,U076,F003,09/20/2025 17:00,09/20/2025 21:00,Swimming Training,Completed,U017,
R0200,U053,F033,09/20/2025 18:30,09/20/2025 22:30,Conference,Confirmed,U284,
R0201,U133,F023,03/21/2025 14:00,03/21/2025 17:00,Dance Rehearsal,Completed,U039,
R0202,U108,F010,04/01/2025 18:00,04/01/2025 19:00,Training Session,Confirmed,U049,
R0203,U166,F033,09/29/2025 09:00,09/29/2025 12:00,Student Organization Meeting,Completed,U239,
R0204,U152,F001,06/25/2025 09:30,06/25/2025 13:30,Study Group,Confirmed,U119,
R0205,U229,F018,01/27/2025 17:00,01/27/2025 21:00,Student Organization Meeting,Completed,U036,
R0206,U218,F008,10/11/2025 19:00,10/11/2025 23:00,Team Meeting,Confirmed,U133,
R0207,U124,F027,06/08/2025 09:00,06/08/2025 13:00,Fitness Class,Confirmed,U117,
R0208,U295,F017,04/08/2025 13:30,04/08/2025 15:30,Volleyball Practice,Completed,U245,
R0209,U190,F003,01/13/2025 12:30,01/13/2025 13:30,Career Fair,Confirmed,U133,
R0210,U141,F001,12/13/2025 17:00,12/13/2025 20:00,Training Session,Confirmed,U255,
R0211,U109,F031,11/20/2025 07:30,11/20/2025 11:30,Yoga Session,Cancelled,U192,Scheduling Conflict
R0212,U030,F001,10/01/2025 11:00,10/01/2025 12:00,Swimming Training,Confirmed,U299,
R0213,U241,F029,09/30/2025 15:00,09/30/2025 19:00,Yoga Session,Confirmed,U098,
R0214,U043,F017,11/02/2025 19:30,11/02/2025 22:30,Guest Lecture,Confirmed,U218,
R0215,U236,F024,11/11/2025 06:00,11/11/2025 10:00,Swimming Training,Confirmed,U216,
R0216,U025,F031,08/23/2025 09:30,08/23/2025 11:30,Team Meeting,Cancelled,U183,Scheduling Conflict
R0217,U153,F019,05/27/2025 07:00,05/27/2025 08:00,Training Session,Cancelled,U235,Scheduling Conflict
R0218,U012,F022,08/28/2025 06:30,08/28/2025 08:30,Career Fair,Confirmed,U076,
R0219,U224,F027,07/14/2025 20:00,07/14/2025 21:00,Team Meeting,Confirmed,U096,
R0220,U003,F013,11/08/2025 16:00,11/08/2025 20:00,Guest Lecture,Completed,U245,
R0221,U004,F029,04/13/2025 16:00,04/13/2025 17:00,Conference,Completed,U230,
R0222,U056,F030,05/15/2025 11:00,05/15/2025 13:00,Career Fair,Confirmed,U108,
R0223,U121,F014,01/24/2025 15:30,01/24/2025 18:30,Student Organization Meeting,Completed,U141,
R0224,U114,F006,08/05/2025 17:30,08/05/2025 19:30,Yoga Session,Confirmed,U154,
R0225,U084,F011,08/24/2025 20:00,08/25/2025 00:00,Conference,Confirmed,U191,
R0226,U205,F033,10/10/2025 19:00,10/10/2025 21:00,Volleyball Practice,Confirmed,U147,
R0227,U006,F007,03/04/2025 10:00,03/04/2025 12:00,Student Organization Meeting,Completed,U069,
R0228,U219,F008,05/21/2025 08:00,05/21/2025 11:00,Study Group,Confirmed,U089,
R0229,U250,F004,10/19/2025 11:30,10/19/2025 14:30,Tournament,Confirmed,U175,
R0230,U296,F013,05/31/2025 12:00,05/31/2025 15:00,Workshop,Confirmed,U048,
R0231,U034,F006,12/03/2025 11:00,12/03/2025 15:00,Fitness Class,Confirmed,U183,
R0232,U045,F024,07/27/2025 06:00,07/27/2025 08:00,Conference,Confirmed,U161,
R0233,U187,F008,04/21/2025 10:00,04/21/2025 13:00,Conference,Completed,U262,
R0234,U138,F007,10/08/2025 12:30,10/08/2025 15:30,Swimming Training,Completed,U252,
R0235,U165,F016,03/25/2025 18:00,03/25/2025 22:00,Conference,Confirmed,U026,
R0236,U215,F021,05/24/2025 06:00,05/24/2025 08:00,Training Session,Completed,U149,
R0237,U238,F030,07/13/2025 08:30,07/13/2025 10:30,Swimming Training,Completed,U151,
R0238,U124,F028,01/08/2025 12:00,01/08/2025 14:00,Workshop,Confirmed,U128,
R0239,U041,F023,01/21/2025 16:00,01/21/2025 18:00,Dance Rehearsal,Confirmed,U224,
R0240,U272,F032,07/12/2025 07:00,07/12/2025 11:00,Guest Lecture,Cancelled,U291,Scheduling Conflict
R0241,U057,F004,09/17/2025 15:30,09/17/2025 18:30,Guest Lecture,Confirmed,U288,
R0242,U015,F033,12/28/2025 17:00,12/28/2025 20:00,Dance Rehearsal,Confirmed,U227,
R0243,U092,F028,10/28/2025 19:00,10/28/2025 20:00,Team Meeting,Cancelled,U180,Scheduling Conflict
R0244,U076,F030,02/16/2025 10:00,02/16/2025 14:00,Dance Rehearsal,Confirmed,U031,
R0245,U250,F012,12/23/2025 07:30,12/23/2025 09:30,Student Organization Meeting,Confirmed,U245,
R0246,U120,F007,12/14/2025 10:30,12/14/2025 11:30,Team Meeting,Completed,U040,
R0247,U115,F023,02/04/2025 13:30,02/04/2025 17:30,Guest Lecture,Confirmed,U180,
R0248,U202,F012,02/26/2025 08:30,02/26/2025 12:30,Swimming Training,Cancelled,U058,Scheduling Conflict
R0249,U198,F018,12/06/2025 13:30,12/06/2025 15:30,Fitness Class,Confirmed,U051,
R0250,U269,F009,07/17/2025 09:30,07/17/2025 11:30,Workshop,Confirmed,U017,
R0251,U028,F003,06/05/2025 17:00,06/05/2025 20:00,Student Organization Meeting,Confirmed,U145,
R0252,U167,F008,04/19/2025 20:30,04/19/2025 21:30,Study Group,Confirmed,U259,
R0253,U246,F021,01/20/2025 06:30,01/20/2025 07:30,Volleyball Practice,Completed,U074,
R0254,U230,F014,07/07/2025 08:00,07/07/2025 11:00,Dance Rehearsal,Confirmed,U090,
R0255,U014,F031,12/11/2025 09:00,12/11/2025 12:00,Conference,Confirmed,U206,
R0256,U082,F018,04/27/2025 06:00,04/27/2025 09:00,Training Session,Completed,U081,
R0257,U228,F013,12/09/2025 17:30,12/09/2025 20:30,Guest Lecture,Completed,U140,
R0258,U058,F001,08/15/2025 16:30,08/15/2025 19:30,Volleyball Practice,Confirmed,U075,
R0259,U175,F010,05/31/2025 06:00,05/31/2025 08:00,Workshop,Completed,U081,
R0260,U231,F016,10/04/2025 17:30,10/04/2025 20:30,Student Organization Meeting,Confirmed,U109,
R0261,U124,F010,08/31/2025 15:30,08/31/2025 19:30,Workshop,Completed,U194,
R0262,U280,F025,10/25/2025 18:00,10/25/2025 22:00,Yoga Session,Confirmed,U275,
R0263,U139,F014,01/07/2025 18:00,01/07/2025 19:00,Guest Lecture,Cancelled,U149,Scheduling Conflict
R0264,U284,F029,08/06/2025 14:30,08/06/2025 15:30,Basketball Practice,Confirmed,U223,
R0265,U008,F028,08/16/2025 12:00,08/16/2025 14:00,Conference,Confirmed,U248,
R0266,U208,F015,06/28/2025 11:00,06/28/2025 13:00,Dance Rehearsal,Confirmed,U211,
R0267,U291,F020,08/24/2025 15:30,08/24/2025 17:30,Study Group,Confirmed,U181,
R0268,U016,F025,07/01/2025 16:30,07/01/2025 19:30,Swimming Training,Confirmed,U007,
R0269,U075,F012,06/30/2025 12:00,06/30/2025 14:00,Swimming Training,Confirmed,U010,
R0270,U021,F002,03/07/2025 19:00,03/07/2025 23:00,Volleyball Practice,Completed,U233,
R0271,U023,F002,05/15/2025 19:30,05/15/2025 22:30,Team Meeting,Confirmed,U169,
R0272,U049,F007,05/25/2025 17:00,05/25/2025 21:00,Tournament,Completed,U149,
R0273,U265,F007,09/04/2025 13:00,09/04/2025 17:00,Team Meeting,Completed,U209,
R0274,U222,F014,08/16/2025 14:00,08/16/2025 16:00,Team Meeting,Confirmed,U030,
R0275,U256,F026,06/03/2025 06:00,06/03/2025 07:00,Dance Rehearsal,Confirmed,U189,
R0276,U195,F022,09/23/2025 13:00,09/23/2025 17:00,Workshop,Confirmed,U098,
R0277,U069,F028,08/05/2025 15:30,08/05/2025 19:30,Training Session,Confirmed,U210,
R0278,U063,F003,06/27/2025 17:00,06/27/2025 20:00,Fitness Class,Cancelled,U164,Scheduling Conflict
R0279,U144,F009,12/04/2025 18:30,12/04/2025 20:30,Volleyball Practice,Confirmed,U172,
R0280,U283,F002,08/01/2025 14:00,08/01/2025 15:00,Career Fair,Cancelled,U171,Scheduling Conflict
R0281,U167,F028,04/24/2025 18:00,04/24/2025 19:00,Workshop,Completed,U252,
